MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,band_gap,formula,formation_energy
16.0,89.0,73.0,45.2,35.04,16.0,14.0,88.0,74.0,58.4,35.52,88.0,32.065,227.0,194.935,110.03899999999999,93.5688,32.065,388.36,1323.0,934.64,762.216,448.6272,388.36,3.0,16.0,13.0,10.8,6.24,16.0,3.0,7.0,4.0,4.6,1.92,3.0,105.0,215.0,110.0,149.0,52.8,105.0,1.1,2.58,1.48,1.9880000000000002,0.7103999999999999,2.58,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,25.786875,44.5125,18.725625000000004,33.277125,8.9883,25.786875,0.0,2.202,2.202,1.3212,1.0569600000000001,2.202,0.0,0.0,0.0,0.0,0.0,0.0,70.0,225.0,155.0,132.0,74.4,70.0,2.2729,Ac2S3,-2.4930635934375003
5.0,89.0,84.0,23.6,26.160000000000004,8.0,14.0,87.0,73.0,69.4,22.159999999999997,87.0,10.811,227.0,216.189,57.161840000000005,67.935264,15.9994,54.8,2348.0,2293.2,767.08,854.7360000000001,54.8,3.0,16.0,13.0,12.8,3.9199999999999995,16.0,2.0,7.0,5.0,3.0,1.6,2.0,66.0,215.0,149.0,99.4,46.24,66.0,1.1,3.44,2.34,2.692,0.8976,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.6799999999999997,4.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.0,2.4,2.0,7.1725,44.5125,37.34,15.8,11.485000000000001,9.105,0.0,1.524,1.524,0.3048,0.48768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,85.4,88.08,12.0,0.8071000000000002,AcBO3,-2.475389555333333
8.0,89.0,81.0,27.4,24.639999999999997,8.0,14.0,87.0,73.0,64.8,26.639999999999997,87.0,15.9994,227.0,211.0006,65.39886,64.640456,15.9994,54.8,2180.0,2125.2,733.48,814.4159999999999,54.8,3.0,16.0,13.0,11.4,5.5200000000000005,16.0,2.0,7.0,5.0,3.4,1.6799999999999997,2.0,66.0,215.0,149.0,110.4,53.279999999999994,66.0,1.1,3.44,2.34,2.616,0.9888,3.44,1.0,2.0,1.0,1.8,0.31999999999999995,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.2,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.4,0.9599999999999997,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.8,3.3599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.2,2.6399999999999997,2.0,9.105,44.5125,35.4075,16.6035,11.1636,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,98.0,103.2,12.0,2.0031000000000008,AcCrO3,-3.1389721295
8.0,89.0,81.0,27.8,24.48,8.0,14.0,87.0,73.0,66.0,25.2,87.0,15.9994,227.0,211.0006,66.16864000000001,64.33254400000001,15.9994,54.8,1811.0,1756.2,659.6800000000001,725.856,54.8,3.0,16.0,13.0,11.8,5.04,16.0,2.0,7.0,5.0,3.4,1.6799999999999997,2.0,66.0,215.0,149.0,109.0,51.6,66.0,1.1,3.44,2.34,2.65,0.9480000000000001,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,6.0,6.0,1.4,1.8399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,5.0,5.8,1.12,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,2.6,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,3.8,2.16,2.0,9.105,44.5125,35.4075,16.5115,11.2004,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.42213256,0.675412096,0.0,12.0,229.0,217.0,98.0,103.2,12.0,1.0084,AcFeO3,-2.771539465500001
8.0,89.0,81.0,28.8,24.96,8.0,14.0,87.0,73.0,69.8,22.32,87.0,15.9994,227.0,211.0006,68.94424000000001,63.533808,15.9994,54.8,1323.0,1268.2,358.062,385.9752,54.8,3.0,16.0,13.0,12.8,3.9199999999999995,16.0,2.0,7.0,5.0,3.4,1.6799999999999997,2.0,66.0,215.0,149.0,107.0,49.2,66.0,1.1,3.44,2.34,2.646,0.9527999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.6,1.6799999999999997,4.0,0.0,10.0,10.0,2.2,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,10.0,6.8,2.4799999999999995,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,9.0,9.0,1.8,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.0,2.4,2.0,9.105,44.5125,35.4075,18.137,10.838400000000002,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,65.0,64.0,12.0,2.895900000000001,AcGaO3,-3.0632526170000007
1.0,89.0,88.0,23.0,33.0,1.0,14.0,92.0,78.0,72.5,29.25,92.0,1.00794,227.0,225.99206,57.505955,84.7470225,1.00794,14.01,1323.0,1308.99,341.2575,490.87125000000003,14.01,1.0,3.0,2.0,1.5,0.75,1.0,1.0,7.0,6.0,2.5,2.25,1.0,31.0,215.0,184.0,77.0,69.0,31.0,1.1,2.2,1.1,1.9250000000000003,0.4125,2.2,1.0,2.0,1.0,1.25,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.75,1.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,1.0,6.615,44.5125,37.8975,16.089375,14.2115625,6.615,0.0,7.853,7.853,5.889749999999999,2.944875,7.853,0.0,0.0,0.0,0.0,0.0,0.0,194.0,225.0,31.0,201.75,11.625,194.0,0.6406999999999998,AcH3,-0.6718020309374992
53.0,89.0,36.0,62.0,13.5,53.0,14.0,96.0,82.0,75.5,30.75,96.0,126.90447,227.0,100.09553,151.92835250000002,37.535823750000006,126.90447,386.85,1323.0,936.15,620.8875,351.05625,386.85,3.0,17.0,14.0,13.5,5.25,17.0,5.0,7.0,2.0,5.5,0.75,5.0,139.0,215.0,76.0,158.0,28.5,139.0,1.1,2.66,1.56,2.27,0.5850000000000001,2.66,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,1.0,10.0,9.0,7.75,3.375,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,14.0,13.5,5.25,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,3.0,3.0,1.0,43.015,44.5125,1.4975000000000023,43.389375,0.5615625000000009,43.015,0.0,1.062,1.062,0.7965,0.39825000000000005,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,104.25,60.375,64.0,2.5886,AcI3,-1.8010032031250018
8.0,89.0,81.0,26.8,24.880000000000003,8.0,11.0,87.0,76.0,57.2,35.760000000000005,87.0,15.9994,227.0,211.0006,63.9908224,65.20367103999999,15.9994,54.8,1814.0,1759.2,660.28,726.576,54.8,3.0,16.0,13.0,10.8,6.24,16.0,2.0,7.0,5.0,3.4,1.6799999999999997,2.0,66.0,215.0,149.0,116.6,60.720000000000006,66.0,1.1,3.44,2.34,2.556,1.0608,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,1.0,1.0,0.4,0.4800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,9.0,9.0,3.6,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.8,3.3599999999999994,2.0,9.105,44.5125,35.4075,18.8125,11.649000000000001,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,1.2700000000000001e-06,2.032e-06,0.0,12.0,225.0,213.0,91.0,94.8,12.0,3.3847000000000005,AcScO3,-3.8290604304999993
52.0,89.0,37.0,68.5,16.5,52.0,14.0,90.0,76.0,67.5,26.75,90.0,127.6,227.0,99.4,171.645825,44.045825,127.6,577.0,1323.0,746.0,836.3299999999999,243.33499999999998,722.66,3.0,16.0,13.0,12.0,4.5,16.0,5.0,7.0,2.0,5.75,0.75,5.0,138.0,215.0,77.0,159.0,28.0,138.0,1.1,2.1,1.0,1.73,0.37,2.1,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.25,1.75,4.0,1.0,10.0,9.0,7.75,3.375,10.0,0.0,14.0,14.0,3.5,5.25,0.0,3.0,27.0,24.0,15.5,6.25,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.25,1.375,2.0,0.0,9.0,9.0,2.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,7.0,4.5,2.5,2.0,26.91,44.5125,17.602500000000003,35.237291666649995,4.637604166675,34.7633333333,0.0,0.464,0.464,0.232,0.232,0.464,0.0,0.0,0.0,0.0,0.0,0.0,152.0,225.0,73.0,180.75,28.75,152.0,0.6217000000000006,AcTlTe2,-1.2514026447916695
5.0,47.0,42.0,13.76923076923077,8.094674556213018,5.0,65.0,94.0,29.0,81.61538461538461,11.431952662721894,72.0,10.811,107.8682,97.0572,29.65016923076923,17.390002366863907,10.811,171.6,2348.0,2176.4,1257.886923076923,1006.2582248520711,171.6,11.0,17.0,6.0,14.692307692307692,2.1301775147928996,13.0,2.0,5.0,3.0,2.6923076923076925,0.6390532544378698,2.0,84.0,145.0,61.0,97.0,12.0,84.0,1.93,3.16,1.2300000000000002,2.5484615384615386,0.5644970414201184,2.04,1.0,2.0,1.0,1.9230769230769231,0.14201183431952658,2.0,0.0,5.0,5.0,2.769230769230769,2.059171597633136,1.0,0.0,10.0,10.0,0.7692307692307693,1.4201183431952664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,5.461538461538462,2.272189349112426,3.0,0.0,1.0,1.0,0.07692307692307693,0.14201183431952663,0.0,0.0,5.0,5.0,2.769230769230769,2.059171597633136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.8461538461538463,1.9881656804733727,1.0,7.1725,24.4975,17.325,15.873076923076923,8.031301775147929,7.1725,0.0,2.493,2.493,1.8539999999999996,0.5898461538461538,1.524,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,123.46153846153847,54.887573964497044,64.0,2.6955,Ag(BCl)6,-0.9528340284935892
